ID,Arch,Window W,Units (L1/L2),Dropout,Optim,LR,Batch,Features (extra),Grad Clip,Val RMSE,Kaggle Public,Kaggle Private
01,LSTM×2,24,64/—,0.0,adam,0.001,64,all feats,clipnorm=1.0,43.609,,
02,LSTM×2,48,128/64,0.2,adam,0.001,64,all feats,clipnorm=1.0,43.919,,
03,GRU×2,48,128/64,0.2,adam,0.0005,64,all feats,clipnorm=1.0,43.705,,
04,LSTM×2,72,128/64,0.3,adam,0.001,128,all feats,clipnorm=1.0,43.265,,
05,LSTM×2,48,256/64,0.2,adam,0.001,64,all feats,clipnorm=1.0,43.326,,
06,LSTM×2,48,128/64,0.2,adam,0.0003,64,all feats,clipnorm=1.0,45.065,,
07,LSTM×2,48,128/64,0.2,adamw,0.001,64,all feats,clipnorm=1.0,42.745,,
08,LSTM×2,48,128/32,0.2,adam,0.001,64,all feats,clipnorm=1.0,44.201,,
09,LSTM×2,36,128/64,0.2,adam,0.001,64,all feats,clipnorm=1.0,44.32,,
10,LSTM×2,48,128/64,0.5,adam,0.001,64,all feats,clipnorm=1.0,43.777,,
11,LSTM×2,48,128/64,0.2,rmsprop,0.001,64,all feats,clipnorm=1.0,44.266,,
12,LSTM×2,48,96/48,0.2,adam,0.001,256,all feats,clipnorm=1.0,45.017,,
13,LSTM×2,48,128/64,0.2,adam,0.0001,64,all feats,clipnorm=1.0,46.224,,
14,GRU×2,72,128/64,0.2,adam,0.001,64,all feats,clipnorm=1.0,44.228,,
15,LSTM×2,48,128/64,0.2,adam,0.001,64,all feats,clipnorm=1.0,43.903,,
